,district,year,case_number,population,population_year,cases_year,expected,SIR,mean,sd,CropRainfed.n.patches,TreeShrub.n.patches,MosCrop.n.patches,MosNatural.n.patches,BroadEvgClop.n.patches,FloodFresh.n.patches,FloodSalt.n.patches,Urban.n.patches,Water.n.patches,CropRainfed.total.area,TreeShrub.total.area,MosCrop.total.area,MosNatural.total.area,BroadEvgClop.total.area,FloodFresh.total.area,FloodSalt.total.area,Urban.total.area,Water.total.area,CropRainfed.patch.density,TreeShrub.patch.density,MosCrop.patch.density,MosNatural.patch.density,BroadEvgClop.patch.density,FloodFresh.patch.density,FloodSalt.patch.density,Urban.patch.density,Water.patch.density,Herbaceous.n.patches,Herbaceous.total.area,Herbaceous.patch.density,CropIrrigate.n.patches,SparseVeg.n.patches,CropIrrigate.total.area,SparseVeg.total.area,CropIrrigate.patch.density,SparseVeg.patch.density,MosHerbTree.n.patches,MosHerbTree.total.area,MosHerbTree.patch.density,Shrub.n.patches,Shrub.total.area,Shrub.patch.density,ShrubEvg.n.patches,ShrubEvg.total.area,ShrubEvg.patch.density
11,Belaga,2010,41,36114,2471150,1142,16.6894717,2.456638576,10.94901816,1.134280186,109,209,302,324,131,213,7,0,36,10534.02644,10410.11471,29795.26189,41683.93302,1758411.636,101206.7202,143.2825802,0,1232.226758,5.54E-05,0.000106151,0.000153386,0.00016456,6.65E-05,0.000108183,3.56E-06,0,1.83E-05,104,15174.76474,5.28E-05,2,11,57.30392073,238.7650819,1.02E-06,5.59E-06,0,0,0,0,0,0,0,0,0
12,Belaga,2011,12,39725.4,2718265,1172,17.12789916,0.700611318,9.325809797,0.357556032,111,223,323,329,133,302,7,0,59,10495.82204,10620.23556,30138.98223,42381.0168,1745087.286,69895.18691,143.2825802,0,39278.89932,5.64E-05,0.000113262,0.000164052,0.000167099,6.76E-05,0.000153386,3.56E-06,0,3.00E-05,112,20436.6483,5.69E-05,3,16,66.84990931,343.8258361,1.52E-06,8.13E-06,0,0,0,0,0,0,0,0,0
13,Belaga,2012,18,43697.94,2990091.5,1218,17.80015458,1.011227173,9.921115716,0.857995707,111,238,355,343,116,404,7,0,67,10495.82204,10839.90415,30864.82807,43068.53774,1736252.13,55155.26292,143.2825802,0,55567.00512,5.64E-05,0.00012088,0.000180305,0.00017421,5.89E-05,0.000205192,3.56E-06,0,3.40E-05,117,26052.38566,5.94E-05,3,18,66.84990931,362.9275334,1.52E-06,9.14E-06,1,19.10028388,5.08E-07,0,0,0,0,0,0
14,Belaga,2013,8,48067.734,3289100.65,1000,14.61424843,0.547410976,9.818957647,1.009013448,111,244,369,352,113,417,7,0,62,10495.82204,10973.61637,31094.04166,43488.77346,1733931.298,53636.70723,143.2825802,0,56703.77116,5.64E-05,0.000123928,0.000187415,0.000178781,5.74E-05,0.000211795,3.56E-06,0,3.15E-05,116,27971.84555,5.89E-05,3,18,66.84990931,362.9275334,1.52E-06,9.14E-06,1,19.10028388,5.08E-07,0,0,0,0,0,0
15,Belaga,2014,5,52874.5074,3618010.715,1076,15.72493131,0.317966413,8.609853427,1.001025234,111,246,380,352,104,512,7,0,75,10524.47052,10992.71276,31361.4413,44376.93491,1725631.324,35497.77552,143.2825802,0,79523.37656,5.64E-05,0.000124944,0.000193002,0.000178781,5.28E-05,0.000260045,3.56E-06,0,3.81E-05,121,30359.18669,6.15E-05,3,20,66.84990931,391.5802919,1.52E-06,1.02E-05,1,19.10028388,5.08E-07,0,0,0,0,0,0
16,Betong,2010,14,62131,2471150,1142,28.71278635,0.487587649,10.98626537,0.593635706,44,35,207,238,143,61,68,17,51,1213.910105,3068.125134,20167.833,42582.06396,115798.0924,32985.90506,4664.443092,458.8012332,6767.332042,0.000191185,0.000152079,0.000899437,0.001034136,0.000621351,0.000265052,0.000295467,7.39E-05,0.000221601,56,2427.780329,0.000243326,0,1,0,9.558682128,0,4.35E-06,0,0,0,0,0,0,0,0,0
17,Betong,2011,54,68344.1,2718265,1172,29.4670627,1.832554556,10.03989105,0.732488725,44,35,205,231,146,60,69,17,51,1204.352153,3087.2406,20177.39007,43432.73941,114918.7434,32976.34728,4674.002284,468.3591854,6748.215179,0.000191185,0.000152079,0.000890747,0.00100372,0.000634386,0.000260707,0.000299812,7.39E-05,0.000221601,58,2446.89673,0.000252016,0,1,0,9.558682128,0,4.35E-06,0,0,0,0,0,0,0,0,0
18,Betong,2012,71,75178.51,2990091.5,1218,30.62361977,2.318471837,9.738100624,0.193389796,44,35,204,227,146,60,68,17,51,1204.352153,3087.2406,20186.94844,43862.85479,114488.628,32976.34728,4664.443913,477.9170448,6738.657319,0.000191185,0.000152079,0.000886402,0.00098634,0.000634386,0.000260707,0.000295467,7.39E-05,0.000221601,58,2446.89673,0.000252016,0,1,0,9.558682128,0,4.35E-06,0,0,0,0,0,0,0,0,0
19,Betong,2013,42,82696.361,3289100.65,1000,25.14254497,1.670475286,9.40718441,0.710061723,44,35,208,226,149,59,68,18,51,1204.352153,3087.2406,20311.20669,44962.07058,113217.3635,32966.7891,4664.443913,497.0338612,6738.657319,0.000191185,0.000152079,0.000903783,0.000981995,0.000647421,0.000256361,0.000295467,7.82E-05,0.000221601,60,2485.128622,0.000260707,0,1,0,9.558682128,0,4.35E-06,0,0,0,0,0,0,0,0,0
20,Betong,2014,57,90965.9971,3618010.715,1076,27.05337839,2.106945727,9.005039215,0.406941134,43,35,217,212,150,59,66,18,50,1213.910449,3135.029095,20492.81133,47437.66599,110397.673,32957.2305,4578.419392,506.5927394,6882.034066,0.00018684,0.000152079,0.000942889,0.000921163,0.000651766,0.000256361,0.000286777,7.82E-05,0.000217255,61,2494.686065,0.000265052,3,1,38.23363865,9.558682128,1.30E-05,4.35E-06,0,0,0,0,0,0,0,0,0
