,District,Year,Disease,Number.Cases,Incidence.Rate,Prevalence,Number.Deaths,Mortality.Rates,population,prec_mean,CropRainfed.n.patches,Herbaceous.n.patches,TreeShrub.n.patches,MosCrop.n.patches,MosNatural.n.patches,BroadEvgClop.n.patches,Shrub.n.patches,FloodFresh.n.patches,FloodSalt.n.patches,Urban.n.patches,Water.n.patches,CropRainfed.total.area,Herbaceous.total.area,TreeShrub.total.area,MosCrop.total.area,MosNatural.total.area,BroadEvgClop.total.area,Shrub.total.area,FloodFresh.total.area,FloodSalt.total.area,Urban.total.area,Water.total.area,CropRainfed.patch.density,Herbaceous.patch.density,TreeShrub.patch.density,MosCrop.patch.density,MosNatural.patch.density,BroadEvgClop.patch.density,Shrub.patch.density,FloodFresh.patch.density,FloodSalt.patch.density,Urban.patch.density,Water.patch.density,SparseVeg.n.patches,SparseVeg.total.area,SparseVeg.patch.density,CropIrrigate.n.patches,MosTreeHerb.n.patches,ShrubEvg.n.patches,Grass.n.patches,CropIrrigate.total.area,MosTreeHerb.total.area,ShrubEvg.total.area,Grass.total.area,CropIrrigate.patch.density,MosTreeHerb.patch.density,ShrubEvg.patch.density,Grass.patch.density,MosHerbTree.n.patches,MosHerbTree.total.area,MosHerbTree.patch.density,SMR
22,Tawau,2000,malaria,837,27.5,0.0025937,2,0.2,322705,6.51784773,118,65,212,448,487,255,0,53,38,23,236,4318.84268,2803.013634,16597.07515,102184.1379,88799.98256,331610.5559,0,2106.848677,39177.78408,2650.785949,6159.316652,0.000197826,0.000108972,0.000355416,0.000751067,0.00081645,0.000427505,0,8.89E-05,6.37E-05,3.86E-05,0.000395651,0,0,0,3,0,1,0,66.7434038,0,9.534433577,0,5.03E-06,0,1.68E-06,0,0,0,0,1.169696757
23,Tenom,2000,malaria,153,33.1,0.00316423,0,0,48353,8.468177174,12,13,19,118,116,60,0,13,0,6,0,342.8954591,704.7487675,1466.652102,19200.92031,35735.92133,173524.6106,0,285.8117993,0,238.0624788,0,5.18E-05,5.62E-05,8.21E-05,0.00050972,0.000501081,0.00025918,0,5.62E-05,0,2.59E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.426991968
24,Tongod,2000,malaria,0,0,0,0,0,25038,7.247698229,18,12,62,436,447,65,5,190,3,2,0,599.8088395,228.5564863,5492.318211,46595.83204,68388.51292,904817.0296,133.3361503,9712.872803,85.6961263,19.04285133,0,1.74E-05,1.16E-05,5.98E-05,0.00042082,0.000431437,6.27E-05,4.83E-06,0.000183385,2.90E-06,1.93E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Tuaran,2000,malaria,8,1,9.41E-05,0,0,84974,8.706567826,48,26,1,121,132,62,0,8,14,43,40,2956.459966,1948.802982,19.02277187,25004.5813,11238.06188,70344.55709,0,209.1105604,5047.451928,1131.298515,674.9015762,0.000404162,0.000218921,8.42E-06,0.001018824,0.001111444,0.000522042,0,6.74E-05,0.00011788,0.000362061,0.000336801,1,152.1015142,8.42E-06,1,0,0,0,38.02229125,0,0,0,8.42E-06,0,0,0,0,0,0,0.042457796
26,Beaufort,2001,malaria,50,7.8,0.000770167,0,0,64921,9.710654839,39,15,11,161,175,156,1,60,34,13,30,2103.709737,1151.868266,485.4939801,41005.02426,42059.5454,62692.68332,38.07865457,4798.074166,12958.67611,390.3364561,561.7939336,0.000231804,8.92E-05,6.54E-05,0.000956936,0.001040148,0.000927218,5.94E-06,0.000356622,0.000202086,7.73E-05,0.000178311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339609106
27,Beluran,2001,malaria,655,89.7,0.007878088,0,0,83142,9.440371693,90,50,299,568,688,422,28,247,96,20,339,3469.676804,3023.113122,29660.74165,160222.8302,97876.48371,427553.9842,1225.99015,11808.57836,82915.71832,1311.328305,7262.209907,0.000108915,6.05E-05,0.000361841,0.000687376,0.000832596,0.000510691,3.39E-05,0.000298912,0.000116176,2.42E-05,0.000410247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.473884349
28,Keningau,2001,malaria,82,5.3,0.000521179,0,0,157335.6,8.959475807,69,63,35,282,122,154,17,13,0,35,0,2418.442112,11158.34836,6133.21534,64034.45503,115241.9544,112710.4127,2561.397035,447.6001244,0,818.9192758,0,0.000218683,0.000199667,0.000110926,0.000893749,0.000386657,0.000488076,5.39E-05,4.12E-05,0,0.000110926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229816589
29,Kinabatangan,2001,malaria,768,67,0.007505857,1,0.1,102320.1,7.607945545,221,21,537,426,483,274,0,162,67,19,211,17782.36267,951.7999328,44225.04203,97350.28917,36778.71845,468419.536,0,15637.0718,72955.96379,561.5426386,7651.387986,0.000289907,2.75E-05,0.000704434,0.000558825,0.000633597,0.000359432,0,0.000212511,8.79E-05,2.49E-05,0.000276789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.309746926
30,Kota Belud,2001,malaria,69,9.3,0.000892289,0,0,77329.2,9.024297231,52,33,1,109,142,54,6,18,22,17,50,8172.15439,2584.66399,19.01776766,24299.1364,15120.34771,79045.80896,104.5524345,684.1315924,2726.845371,418.1494605,893.1161795,0.000385512,0.000244652,7.41E-06,0.000808092,0.001052744,0.000400339,4.45E-05,0.000133446,0.000163101,0.000126033,0.000370685,5,161.5957902,3.71E-05,4,9,1,1,114.0660579,475.4088419,38.03177387,28.52369668,2.97E-05,6.67E-05,7.41E-06,7.41E-06,0,0,0,0.393459555
31,Kota Kinabalu,2001,malaria,178,4.4,0.000467022,1,0.6,381138.6,9.107403609,76,48,0,48,46,29,1,1,14,32,45,2614.913885,1017.436188,0,4592.903184,3166.411483,15110.89199,142.5875803,19.0151247,1740.079318,7864.021784,694.1047082,0.00205456,0.001297617,0,0.001297617,0.001243549,0.000783977,2.70E-05,2.70E-05,0.000378472,0.000865078,0.001216516,0,0,0,3,0,0,0,28.52496244,0,0,0,8.11E-05,0,0,0,0,0,0,0.205935677
